,District,Party,Total 2020,Winner 2016,Median Age (years),"Citizen, 18 and over population",White (percent),Black or African American (percent),American Indian and Alaska Native (percent),Asian (percent),Native Hawaiian and Other Pacific Islander (percent),Other (percent),Two or more races (percent),Postsecondary (percent),Secondary or less (percent),Median Household Income (dollars)
0,AK-AL,1,357569,1,35.0,533151,64.2,3.1,15.8,6.0,1.4,1.7,7.9,62.69164691298958,37.30835308701042,75463
1,AL-01,1,331886,1,40.4,546223,66.9,27.4,1.0,1.4,0.0,1.1,2.1,53.66332680468552,46.33667319531448,50663
2,AL-02,1,306714,1,39.0,513747,62.8,32.2,0.3,1.3,0.0,1.4,1.9,54.349422192989834,45.650577807010166,50494
3,AL-03,1,324741,1,38.9,550776,68.9,26.3,0.3,1.8,0.1,1.0,1.7,55.165667391741266,44.834332608258734,51925
4,AL-04,1,320725,1,41.1,516456,86.8,7.4,0.5,0.5,0.1,3.0,1.8,48.75400511754598,51.24599488245401,47531
5,AL-05,1,364107,1,39.7,563216,75.0,18.3,0.5,1.7,0.0,1.8,2.6,61.1911655080353,38.8088344919647,59950
6,AL-06,1,370171,1,39.9,527401,78.6,16.0,0.4,1.6,0.0,1.8,1.7,66.05738332341076,33.942616676589246,69072
7,AL-07,0,297626,0,36.8,513517,34.2,62.6,0.2,1.2,0.0,0.6,1.2,50.826908587215456,49.17309141278455,38023
8,AR-01,1,271712,1,40.1,548521,77.4,17.6,0.3,0.5,0.3,0.9,3.1,46.009528195975705,53.990471804024295,43193
9,AR-02,1,333347,1,38.0,576874,70.8,23.3,0.4,1.6,0.0,1.5,2.5,59.157431832229435,40.84256816777057,53600
10,AR-03,1,335854,1,36.2,579984,83.8,3.1,1.1,3.1,1.1,4.4,3.5,56.847802464716715,43.152197535283285,54310
11,AR-04,1,278156,1,41.4,530036,74.0,19.4,0.5,0.7,0.2,3.1,1.9,47.89444328243743,52.10555671756257,43824
12,AZ-01,0,373579,1,39.0,579140,64.2,2.8,23.0,1.6,0.2,4.5,3.7,60.25562762935648,39.74437237064352,56117
13,AZ-02,0,391436,0,41.5,555917,81.8,4.3,1.4,2.8,0.2,4.6,4.8,68.21575311939212,31.784246880607885,54835
14,AZ-03,0,278497,0,32.1,498408,74.5,4.4,4.6,1.7,0.1,9.9,4.8,48.61465906857929,51.38534093142071,54583
15,AZ-04,1,411938,1,48.7,646034,87.8,1.7,2.2,1.0,0.1,3.9,3.2,57.883538683802925,42.116461316197075,55040
16,AZ-05,1,465598,1,39.3,601179,82.9,4.0,1.1,5.3,0.1,2.7,3.9,71.29379118973291,28.706208810267082,82540
17,AZ-06,1,432328,1,43.2,603700,82.6,3.0,1.9,5.7,0.1,2.9,3.7,71.74116253244028,28.258837467559715,76615
18,AZ-07,0,224168,0,30.6,472749,72.9,9.9,2.5,2.5,0.5,8.3,3.4,41.94410980157549,58.0558901984245,49066
