"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","252199","3658","4.1","0.6","3.2","0.5","6.6","0.8","6.9","0.8","10.7","1.0","18.1","1.4","13.4","1.0","18.2","1.1","9.4","0.8","9.3","1.1","75463","2694","98504","3214","32.9","(X)","(X)","(X)","(X)","(X)","163134","4057","2.0","0.5","1.8","0.6","3.7","0.7","5.6","0.9","9.0","0.9","17.9","2.0","13.7","1.2","21.6","1.6","12.8","1.1","12.0","1.5","91971","4242","115639","4770","(X)","(X)","33.4","(X)","(X)","(X)","124608","3699","0.5","0.2","1.3","0.6","1.8","0.5","3.6","0.7","7.7","1.2","15.9","1.8","14.6","1.5","24.2","1.8","15.7","1.5","14.8","1.7","106046","2381","130245","5121","(X)","(X)","(X)","(X)","(X)","(X)","89065","3194","8.6","1.5","6.3","1.3","12.5","1.7","10.1","1.4","15.0","2.1","18.5","1.8","12.6","1.8","10.8","1.7","2.6","0.8","3.0","1.2","47508","2524","61602","3112","(X)","(X)","(X)","(X)","29.3","(X)"
"5001600US0601","Congressional District 1 (116th Congress), California","271323","4250","5.6","0.7","4.8","0.7","10.2","1.0","9.7","1.1","12.5","1.2","16.0","1.1","13.5","1.1","14.1","1.1","6.9","0.8","6.7","0.8","61433","2217","84470","3002","39.7","(X)","(X)","(X)","(X)","(X)","172493","4792","3.0","0.8","2.2","0.8","7.4","1.1","7.9","1.3","10.6","1.3","17.8","1.6","15.7","1.4","17.7","1.5","9.1","1.2","8.8","1.2","76963","2798","101028","4249","(X)","(X)","38.8","(X)","(X)","(X)","129965","4987","1.0","0.4","0.7","0.4","4.1","1.0","6.5","1.3","9.1","1.4","18.5","1.9","17.5","1.8","20.0","1.8","11.4","1.5","11.1","1.5","88136","2310","115789","5326","(X)","(X)","(X)","(X)","(X)","(X)","98830","4814","11.0","1.6","10.8","1.6","16.2","2.0","13.8","2.0","15.8","2.1","12.8","1.8","8.4","1.6","6.3","1.1","2.6","0.9","2.2","1.0","33451","2227","50567","3381","(X)","(X)","(X)","(X)","39.6","(X)"
"5001600US0602","Congressional District 2 (116th Congress), California","285860","4071","4.0","0.6","5.4","0.8","6.2","0.8","7.0","0.9","10.8","1.2","13.7","1.1","11.9","1.1","15.7","1.2","8.5","0.9","16.8","1.0","80051","3101","126461","5180","36.3","(X)","(X)","(X)","(X)","(X)","171519","5207","2.2","0.5","1.8","0.6","3.2","0.7","5.0","0.9","10.4","1.4","12.7","1.2","11.9","1.3","18.5","1.7","11.9","1.4","22.4","1.6","105735","5279","157698","7872","(X)","(X)","37.4","(X)","(X)","(X)","131866","4302","0.7","0.3","0.5","0.3","1.7","0.5","3.6","0.8","8.2","1.5","11.0","1.3","12.3","1.5","20.6","1.9","13.9","1.7","27.4","2.0","126427","4485","183375","9829","(X)","(X)","(X)","(X)","(X)","(X)","114341","4358","7.6","1.3","11.0","1.8","11.0","1.6","10.8","1.9","12.0","1.9","15.4","2.0","11.2","1.5","11.0","1.8","2.8","0.8","7.2","1.3","47289","3261","74220","6502","(X)","(X)","(X)","(X)","33.3","(X)"
"5001600US0603","Congressional District 3 (116th Congress), California","255155","4336","5.6","0.9","4.1","0.7","5.6","0.8","7.6","1.0","11.0","1.1","17.2","1.4","13.2","1.3","17.7","1.4","9.5","0.9","8.5","0.8","73191","2916","97313","2988","35.6","(X)","(X)","(X)","(X)","(X)","175488","5289","3.1","0.9","2.1","0.5","4.2","0.8","6.7","1.1","10.4","1.2","16.7","1.7","13.5","1.4","21.3","1.9","11.4","1.1","10.5","1.2","85514","4375","111105","4336","(X)","(X)","35.5","(X)","(X)","(X)","126727","4697","1.4","0.6","0.8","0.4","2.6","0.7","5.2","1.2","9.0","1.5","14.6","1.6","14.5","1.6","24.4","2.3","14.2","1.4","13.4","1.5","102430","4080","128687","5308","(X)","(X)","(X)","(X)","(X)","(X)","79667","4436","11.7","2.0","9.0","2.0","9.4","1.7","10.4","2.0","12.7","2.3","19.9","2.4","11.7","2.2","9.2","1.7","3.6","1.5","2.4","0.9","45049","3802","59043","4398","(X)","(X)","(X)","(X)","34.2","(X)"
"5001600US0604","Congressional District 4 (116th Congress), California","286740","5075","4.2","0.6","3.2","0.6","6.0","0.9","6.2","0.8","8.9","0.9","15.3","1.1","13.7","1.1","19.0","1.3","10.0","0.9","13.5","1.0","86374","2116","113380","3212","33.7","(X)","(X)","(X)","(X)","(X)","199083","5669","2.0","0.6","1.5","0.4","3.4","0.8","4.8","0.9","7.9","1.1","13.8","1.4","13.8","1.3","23.0","1.9","12.5","1.1","17.3","1.4","104172","4021","132460","4280","(X)","(X)","32.2","(X)","(X)","(X)","163735","5735","1.1","0.3","1.0","0.4","2.7","0.8","3.0","0.8","6.7","1.1","12.8","1.5","14.5","1.5","24.7","2.2","13.4","1.3","20.1","1.6","114377","4252","143728","4660","(X)","(X)","(X)","(X)","(X)","(X)","87657","5028","9.5","1.6","7.7","1.7","12.8","2.1","10.2","1.7","13.1","1.7","16.9","2.1","11.9","1.7","10.4","1.7","3.8","1.0","3.6","1.0","45395","3719","64361","3955","(X)","(X)","(X)","(X)","35.6","(X)"
"5001600US0605","Congressional District 5 (116th Congress), California","268680","4533","3.9","0.7","2.5","0.5","4.6","0.8","5.6","0.7","10.7","1.1","16.0","1.3","15.1","1.1","18.4","1.4","10.0","0.9","13.1","1.0","85856","2759","112639","3828","33.4","(X)","(X)","(X)","(X)","(X)","171191","4688","2.3","0.8","1.1","0.5","3.0","0.8","4.1","0.8","9.6","1.7","13.8","1.5","16.8","1.6","21.9","1.8","11.3","1.2","16.1","1.2","98741","3719","126652","5148","(X)","(X)","34.8","(X)","(X)","(X)","125682","4086","1.2","0.5","0.8","0.4","1.4","0.6","3.4","0.8","7.0","1.5","12.6","1.5","16.2","2.0","24.7","2.1","13.0","1.5","19.7","1.7","112213","3978","140788","6146","(X)","(X)","(X)","(X)","(X)","(X)","97489","5073","8.0","1.5","5.2","1.3","8.9","1.6","8.6","1.4","13.8","1.8","18.3","2.0","12.8","2.0","11.2","1.5","6.9","1.3","6.3","1.2","56416","3488","81134","6368","(X)","(X)","(X)","(X)","30.1","(X)"
"5001600US0606","Congressional District 6 (116th Congress), California","281104","5058","4.5","0.6","5.0","0.7","8.6","0.8","9.6","1.0","11.2","1.2","17.6","1.1","13.6","1.1","16.1","1.4","7.2","0.8","6.5","0.8","64687","2996","85173","2539","34.3","(X)","(X)","(X)","(X)","(X)","171606","4644","2.9","0.8","2.5","0.6","7.7","1.2","9.1","1.3","11.6","1.4","17.3","1.6","14.4","1.5","18.4","2.0","7.9","1.1","8.2","1.1","72337","4099","94175","3554","(X)","(X)","35.3","(X)","(X)","(X)","110669","4636","0.9","0.5","1.2","0.6","5.2","1.5","6.2","1.6","8.3","1.5","17.1","2.0","16.4","2.0","22.3","2.6","10.7","1.4","11.6","1.6","89544","5556","112365","4277","(X)","(X)","(X)","(X)","(X)","(X)","109498","5055","8.0","1.2","9.4","1.7","11.6","1.6","10.9","1.6","11.5","1.7","18.6","2.1","11.6","1.7","10.9","1.6","4.0","1.0","3.6","0.8","47541","4113","64918","3329","(X)","(X)","(X)","(X)","30.2","(X)"
"5001600US0607","Congressional District 7 (116th Congress), California","272771","4418","4.2","0.8","3.1","0.6","5.7","0.8","6.1","0.7","10.7","1.2","18.0","1.3","13.7","1.3","18.3","1.2","9.5","1.0","10.7","0.8","77786","2663","101893","2454","32.4","(X)","(X)","(X)","(X)","(X)","185099","4628","2.0","0.5","1.8","0.6","4.3","0.8","5.6","0.9","9.2","1.3","16.4","1.4","14.3","1.5","20.8","1.4","12.0","1.2","13.6","1.2","93177","3277","115617","2897","(X)","(X)","32.7","(X)","(X)","(X)","136557","3869","1.2","0.4","1.0","0.5","2.9","0.7","3.5","0.8","6.4","1.2","15.1","1.7","13.6","1.7","24.0","1.7","14.9","1.6","17.3","1.4","109811","2454","132597","3466","(X)","(X)","(X)","(X)","(X)","(X)","87672","4919","9.6","2.1","6.3","1.6","9.6","1.7","8.4","1.8","14.1","2.0","21.7","2.4","11.8","2.3","10.5","1.8","4.3","1.4","3.6","1.1","52553","3877","67605","5522","(X)","(X)","(X)","(X)","30.4","(X)"
"5001600US0608","Congressional District 8 (116th Congress), California","228723","4931","6.1","0.9","4.8","0.8","9.2","1.2","11.1","1.4","13.7","1.2","18.4","1.7","13.5","1.3","13.9","1.5","5.9","1.0","3.3","0.6","56140","3014","73035","2416","36.1","(X)","(X)","(X)","(X)","(X)","163440","4054","4.1","0.9","3.4","0.8","7.3","1.3","9.9","1.6","13.3","1.4","19.3","2.0","14.8","1.8","16.8","2.0","7.0","1.3","4.0","0.7","65238","3343","80713","2808","(X)","(X)","36.7","(X)","(X)","(X)","113765","4119","1.9","0.7","1.6","0.7","5.1","1.3","8.0","1.7","12.5","1.8","18.9","2.4","16.5","2.1","20.5","2.4","9.4","1.7","5.6","1.1","79103","5217","94138","4142","(X)","(X)","(X)","(X)","(X)","(X)","65283","4284","13.0","2.7","9.5","1.8","14.8","2.4","14.3","2.5","14.9","3.0","16.3","2.9","7.6","1.8","5.7","1.6","2.3","1.5","1.6","0.7","33023","3780","49204","4316","(X)","(X)","(X)","(X)","31.8","(X)"
