"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"5001600US0101","Congressional District 1 (116th Congress), Alabama","268033","4998","8.4","1.0","5.2","0.8","10.4","1.0","10.6","1.0","14.8","1.1","18.2","1.4","11.3","1.0","12.7","1.1","4.5","0.6","4.0","0.7","50663","1500","68866","2253","39.4","(X)","(X)","(X)","(X)","(X)","172441","5757","4.8","1.0","2.5","0.7","7.5","1.2","9.4","1.3","14.9","1.6","19.5","1.8","13.5","1.4","16.4","1.6","6.2","0.9","5.4","1.0","62805","2473","82191","2976","(X)","(X)","38.9","(X)","(X)","(X)","123588","5720","1.6","0.7","0.9","0.5","4.5","1.1","7.3","1.5","12.7","1.7","20.7","2.1","16.2","1.8","21.2","2.1","8.0","1.2","6.9","1.2","78497","3576","96577","3639","(X)","(X)","(X)","(X)","(X)","(X)","95592","5326","15.4","2.4","10.3","1.9","16.4","2.2","13.2","2.1","14.8","2.4","16.2","2.5","5.6","1.4","5.5","1.3","1.3","0.8","1.4","0.6","30805","2169","42804","2694","(X)","(X)","(X)","(X)","39.4","(X)"
"5001600US0102","Congressional District 2 (116th Congress), Alabama","262180","4274","7.7","0.7","4.9","0.5","11.8","1.1","10.5","0.8","14.4","1.2","19.2","1.2","11.3","1.0","12.7","0.9","4.1","0.4","3.3","0.4","50494","1061","66203","1363","38.5","(X)","(X)","(X)","(X)","(X)","168129","4596","5.0","0.7","2.7","0.5","8.8","1.1","9.8","1.0","13.6","1.4","19.5","1.6","13.7","1.3","16.4","1.3","5.7","0.6","4.8","0.7","61524","1715","78610","1916","(X)","(X)","39.1","(X)","(X)","(X)","114051","3948","1.4","0.5","1.1","0.5","4.7","0.8","6.3","1.0","12.4","1.6","20.0","1.9","17.7","1.8","21.9","1.8","7.8","0.9","6.6","1.0","79997","2487","95735","2741","(X)","(X)","(X)","(X)","(X)","(X)","94051","5097","13.8","1.8","9.2","1.3","18.2","2.1","12.5","1.8","14.9","2.3","17.6","2.2","6.6","1.2","5.6","1.5","1.2","0.5","0.5","0.3","31799","1712","41631","2088","(X)","(X)","(X)","(X)","36.0","(X)"
"5001600US0103","Congressional District 3 (116th Congress), Alabama","279236","4803","8.5","1.0","6.0","0.9","11.5","1.3","9.8","1.3","12.2","1.2","18.6","1.6","11.4","1.1","13.5","1.2","4.8","0.8","3.7","0.5","51925","1924","69896","2454","36.3","(X)","(X)","(X)","(X)","(X)","184320","5789","4.6","0.9","2.0","0.6","8.4","1.3","8.9","1.4","11.0","1.4","21.1","2.1","14.4","1.5","17.9","1.5","6.6","1.2","5.1","0.8","67624","3098","84917","2967","(X)","(X)","37.3","(X)","(X)","(X)","138142","4980","2.2","0.7","1.1","0.5","5.4","1.4","6.1","1.2","10.5","1.5","21.6","2.4","16.2","1.8","21.9","1.9","8.2","1.6","6.7","1.0","80204","3618","97894","3525","(X)","(X)","(X)","(X)","(X)","(X)","94916","5694","16.9","2.2","13.7","2.1","19.3","2.6","12.1","1.9","14.1","2.2","12.9","2.0","4.9","1.3","4.6","1.4","0.8","0.7","0.7","0.5","25093","2513","38125","3484","(X)","(X)","(X)","(X)","32.8","(X)"
"5001600US0104","Congressional District 4 (116th Congress), Alabama","262865","4504","7.5","0.8","6.1","0.8","13.3","1.2","10.5","1.0","14.8","1.1","18.7","1.3","11.4","1.1","11.9","1.0","3.2","0.5","2.6","0.5","47531","1703","63030","1946","37.6","(X)","(X)","(X)","(X)","(X)","179508","4713","3.9","0.7","2.6","0.7","8.8","1.2","10.1","1.3","15.3","1.3","21.5","1.6","14.6","1.4","15.5","1.4","4.3","0.7","3.4","0.7","59962","1658","74301","2262","(X)","(X)","38.9","(X)","(X)","(X)","137017","4572","1.5","0.5","2.3","0.7","6.6","1.4","8.0","1.3","14.6","1.4","22.4","1.7","16.4","1.7","18.6","1.7","5.4","0.8","4.2","0.8","68361","3055","83297","2844","(X)","(X)","(X)","(X)","(X)","(X)","83357","3873","16.3","2.2","13.7","1.9","24.2","2.6","11.8","1.9","13.2","2.0","11.8","2.1","4.0","1.3","3.4","1.1","0.8","0.5","0.9","0.4","22794","1372","36682","2949","(X)","(X)","(X)","(X)","33.7","(X)"
"5001600US0105","Congressional District 5 (116th Congress), Alabama","293146","4489","6.0","0.8","5.2","0.7","9.7","1.0","9.8","1.0","12.5","1.0","16.1","1.1","12.3","1.0","15.9","1.3","7.0","0.8","5.5","0.7","59950","2015","80182","2269","32.1","(X)","(X)","(X)","(X)","(X)","195668","5489","3.7","0.8","2.3","0.6","7.1","1.2","8.3","1.1","11.2","1.4","17.0","1.5","14.1","1.5","19.5","1.7","9.3","1.0","7.5","0.9","75419","3168","94493","2806","(X)","(X)","31.5","(X)","(X)","(X)","147166","5234","1.2","0.4","1.4","0.7","4.0","1.1","6.0","1.2","8.7","1.3","17.5","1.7","16.3","2.0","23.6","1.9","11.7","1.3","9.7","1.2","91399","3206","110260","3047","(X)","(X)","(X)","(X)","(X)","(X)","97478","5426","12.0","2.0","11.0","1.7","16.2","1.9","12.2","1.9","15.9","1.9","14.8","2.1","6.8","1.3","7.9","1.4","1.8","0.9","1.4","0.7","33709","2482","47934","3178","(X)","(X)","(X)","(X)","32.0","(X)"
"5001600US0106","Congressional District 6 (116th Congress), Alabama","272470","4379","5.3","0.8","3.5","0.6","7.6","1.0","8.4","0.9","11.4","1.2","17.5","1.2","12.7","1.0","17.1","1.1","7.8","0.9","8.8","0.9","69072","3443","96777","3464","38.5","(X)","(X)","(X)","(X)","(X)","186592","5141","2.1","0.5","2.0","0.7","4.0","0.9","6.4","0.9","10.5","1.3","17.8","1.5","14.8","1.5","20.5","1.5","10.1","1.3","11.8","1.2","87199","4119","114485","4557","(X)","(X)","39.1","(X)","(X)","(X)","148120","4724","0.8","0.3","1.5","0.6","2.8","0.8","4.9","1.0","8.5","1.2","16.4","1.6","15.0","1.5","23.7","1.7","12.0","1.5","14.4","1.4","100212","3001","128442","5109","(X)","(X)","(X)","(X)","(X)","(X)","85878","5002","12.7","2.4","7.1","1.5","15.4","2.3","13.3","2.4","14.3","2.3","16.6","2.1","7.8","1.5","8.2","1.8","2.5","1.0","2.1","0.8","36650","3510","55687","4089","(X)","(X)","(X)","(X)","35.9","(X)"
"5001600US0107","Congressional District 7 (116th Congress), Alabama","259646","5611","14.0","1.3","7.5","0.8","12.4","1.5","12.9","1.4","14.0","1.1","16.3","1.4","7.8","0.9","9.7","1.0","3.3","0.6","2.0","0.5","38023","1961","53378","1634","45.0","(X)","(X)","(X)","(X)","(X)","151225","5375","8.9","1.3","4.1","1.0","9.3","1.4","13.9","2.2","13.9","1.7","18.1","1.9","10.9","1.4","13.7","1.5","4.6","0.9","2.6","0.7","49853","2985","64602","2405","(X)","(X)","48.6","(X)","(X)","(X)","83966","4505","2.0","0.8","1.1","0.6","4.2","1.2","9.9","2.5","14.0","2.5","22.3","2.6","15.2","2.0","19.4","2.4","7.6","1.6","4.3","1.2","70409","2902","84932","3390","(X)","(X)","(X)","(X)","(X)","(X)","108421","5757","21.5","2.3","12.8","1.5","17.0","2.5","12.3","2.1","14.4","1.7","12.7","2.0","3.7","1.0","3.3","1.0","1.2","0.7","1.0","0.6","24132","1649","36017","2245","(X)","(X)","(X)","(X)","38.7","(X)"
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","252199","3658","4.1","0.6","3.2","0.5","6.6","0.8","6.9","0.8","10.7","1.0","18.1","1.4","13.4","1.0","18.2","1.1","9.4","0.8","9.3","1.1","75463","2694","98504","3214","32.9","(X)","(X)","(X)","(X)","(X)","163134","4057","2.0","0.5","1.8","0.6","3.7","0.7","5.6","0.9","9.0","0.9","17.9","2.0","13.7","1.2","21.6","1.6","12.8","1.1","12.0","1.5","91971","4242","115639","4770","(X)","(X)","33.4","(X)","(X)","(X)","124608","3699","0.5","0.2","1.3","0.6","1.8","0.5","3.6","0.7","7.7","1.2","15.9","1.8","14.6","1.5","24.2","1.8","15.7","1.5","14.8","1.7","106046","2381","130245","5121","(X)","(X)","(X)","(X)","(X)","(X)","89065","3194","8.6","1.5","6.3","1.3","12.5","1.7","10.1","1.4","15.0","2.1","18.5","1.8","12.6","1.8","10.8","1.7","2.6","0.8","3.0","1.2","47508","2524","61602","3112","(X)","(X)","(X)","(X)","29.3","(X)"
"5001600US0401","Congressional District 1 (116th Congress), Arizona","273698","5792","8.7","0.9","4.6","0.6","8.7","0.9","8.9","1.1","14.0","1.1","18.9","1.3","12.4","1.1","14.4","1.1","5.3","0.7","4.2","0.7","56117","2193","73110","2658","37.9","(X)","(X)","(X)","(X)","(X)","185663","4706","5.5","0.9","2.3","0.6","6.6","1.0","8.2","1.2","13.0","1.2","19.8","1.6","15.7","1.5","17.5","1.6","6.3","0.9","5.2","1.0","67235","2737","82912","3155","(X)","(X)","39.2","(X)","(X)","(X)","135058","4807","2.4","0.7","1.2","0.4","3.9","0.7","5.5","1.3","11.6","1.4","20.7","1.5","18.7","2.0","21.1","1.9","8.5","1.2","6.4","1.3","80692","3249","95820","3867","(X)","(X)","(X)","(X)","(X)","(X)","88035","3916","18.3","2.5","8.7","1.7","13.8","2.3","11.5","1.7","16.0","2.4","15.8","2.1","5.6","1.3","6.4","1.3","2.4","1.1","1.6","0.7","32687","3053","47981","4783","(X)","(X)","(X)","(X)","33.2","(X)"
